item,accumulation_hour,power_setup(other_lamp),power_setup(lamp_1_2_60_61_62_63_121_122)
1,0-50,35,39
2,51-100,36,40
3,101-150,37,41
4,151-200,38,42
5,201-300,39,43
6,301-400,40,44
7,401-500,41,45
8,501-600,42,46
9,601-700,43,47
10,701-800,44,48
11,801-900,45,49
12,901-1000,46,50
13,1001-1200,47,51
14,1201-1400,48,52
15,1401-1600,49,53
16,1601-1800,49.5,53.5
17,1801-2000,50,54
18,2001-2200,50.5,54.5
19,2201-2400,51,55
20,2401-2600,51.5,55.5
21,2601-2800,52,56
22,2801-3000,52.5,56.5
23,3001-3200,53,57
24,3201-3400,53.5,57.5
25,3401-3600,54,58
26,3601-3800,54.5,58.5
27,3801-4000,55,59
28,4001-4400,55.5,59.5
29,4401-5000,57.5,61.5
30,5001-5500,59.5,63.5
31,5501-6000,61.5,65.5
32,6001-6500,63.5,67.5
33,6501-7000,65.5,69.5
34,7001-8000,70.5,74.5
35,8001-9000,75.5,79.5
36,9001-9999,80.5,84.5
